title,lc,author,lc_class
Los hombres que no amaban a las mujeres: The Girl With The Dragon Tattoo (Millennium (Paperback)) (Spanish Edition),PT9876.A6933,Stieg Larsson,PT
La chica que sonaba con un cerillo y un galon de gasolina. Vol. 2 Triologia Millennium (Anea Y Delfin) (Spanish Edition),PT9876.A6933 F5713,Stieg Larsson,PT
Cosmicomics,PZ3.C13956 C,Italo Calvino,PZ
2001: a Space Odyssey (Space Odyssey Series),PZ3.C551205 T,Arthur C. Clarke,PZ
"The Portent; a Story of the inner vision of the Highlanders, commonly called the second sight",PZ3.M144 PR4967,George MacDonald,PZ
Robert Falconer,PZ3.M144 PR4967 .R63,George MacDonald,PZ
Great Short Works of Leo Tolstoy (Perennial Classics),PZ3.T588 G,Leo Tolstoy,PZ
Trinity,PZ4.U76 PS3541 .R46,Leon Uris,PZ
Alice's Adventures in Wonderland and Through the Looking Glass,PZ7.D684 A,Lewis Carroll,PZ
The Fault in Our Stars,PZ7.G8233 F,John Green,PZ
Chronicles of Narnia Box Set,PZ7.L58474 C,C. S. Lewis,PZ
La ladrona de libros (Spanish Edition),PZ7.Z837 B,Markus Zusak,PZ
The Iliad,PZ8.H75,Homer,PZ
The Little Prince Deluxe Pop-Up Book,PZ8.S14 L,Antoine de Saint-Exupéry,PZ
"The Beginnings of Western Science: The European Scientific Tradition in Philosophical, Religious, and Institutional Context, Prehistory to A.D. 1450",Q124 .L55,David C. Lindberg,Q
The Scientific Attitude: Second Edition (The Conduct of Science Series),Q175 .G754,Frederick Grinnell,Q
The Lady Tasting Tea: How Statistics Revolutionized Science in the Twentieth Century,Q175 .S2345,David Salsburg,Q
Science Rules: A Historical Introduction to Scientific Methods,Q175 .S4226,Peter Achinstein,Q
Planning of Experiments,Q175.C8,D. R. Cox,Q
Bruno de Finetti Radical Probabilist (Texts in Philosophy),QA273 .B76,Maria Carla Galavotti,QA
The Visual Display of Quantitative Information,QA276 .T83,Edward R. Tufte,QA
OpenIntro Statistics: Second Edition,QA276.12 .D539,David M Diez,QA
The Seven Pillars of Statistical Wisdom,QA276.15 S754,Stephen M. Stigler,QA
"Calculus, 4th edition",QA303,Michael Spivak,QA
Combined Answer Book For Calculus Third and Fourth Editions,QA303 .S78,Michael Spivak,QA
Euclid's Elements,QA31 .E875,Euclid,QA
Version Control with Git: Powerful tools and techniques for collaborative software development,QA76.D47 L64,Jon Loeliger,QA
HTML and CSS: Design and Build Websites,QA76.H94 D838,Jon Duckett,QA
Mathematics: A Very Short Introduction,QA93 .G69,Timothy Gowers,QA
The Pope of Physics: Enrico Fermi and the Birth of the Atomic Age,QC16.F46 S44,Gino Segrè,QC
Roadside Geology of Texas,QE167 .S53,Darwin Spearing,QE
The Creation: An Appeal to Save Life on Earth,QH303 .W55,Edward O. Wilson,QH
"The Accidental Mind: How Brain Evolution Has Given Us Love, Memory, Dreams, and God",QP376 .L577,David J. Linden,QP
"A Brief History of Disease, Science and Medicine: From the Ice Age to the Genome Project",R131.K44,Michael T. Kennedy MD,R
Being Mortal: Medicine and What Matters in the End,R726.8 G39,Atul Gawande,R
"Ending Medical Reversal: Improving Outcomes, Saving Lives (Johns Hopkins Press Health Books (Paperback))",R733 .P73,Vinayak K. Prasad,R
Polio: An American Story,RC181.U5 O83,David M. Oshinsky,RC
The Emperor of All Maladies: A Biography of Cancer,RC275 .M85,Siddhartha Mukherjee,RC
When Breath Becomes Air,RC280.L8 K35,Paul Kalanithi,RC
Medicalization of Everyday Life: Selected Essays,RC455.C4 S93,Thomas Szasz,RC
Oxford Handbook of Clinical Medicine,RC59 .H67,R. A. Hope,RC
Blue Book of Medical Diagnosis (Saunders Blue Book Series),RC71,Richard Cummins,RC
Stoned: A Doctor's Case for Medical Marijuana,RM666.C266 C3755,David Casarett M.D.,RM
James Herriot's Dog Stories,SF426 .H47,James Herriot,SF
Marley & Me: Life and Love with the World's Worst Dog,SF429.L3 G76,John Grogan,SF
Every Living Thing (All Creatures Great and Small),SF613.H44 A288,James Herriot,SF
The Idea Factory: Bell Labs and the Great Age of American Innovation,TK5102.U6 G47,Jon Gertner,TK
Flight: The Complete History,TL515 .G67,R. G. Grant,TL
West with the Night: A Memoir,TL540.M345 A3,Beryl Markham,TL
Aviation Weather: FAA Advisory Circular (AC) 00-6B (FAA Handbooks series),TL556 .U644,Federal Aviation Administration (Faa)/aviation Supplies & Academics (Asa),TL
Pilot's Handbook of Aeronautical Knowledge: FAA-H-8083-25B (FAA Handbooks series),TL710 .P48,Federal Aviation Administration (Faa)/aviation Supplies & Academics (Asa),TL
Private Pilot Manual,TL710 .P7363,Jeppesen Sanderson,TL
Instrument Flying Handbook: ASA FAA-H-8083-15B,TL711.B6 I57,Federal Aviation Administration (FAA),TL
The Right Stuff,TL789.U5 W64,Tom Wolfe,TL
