title,lc,author,lc_class
"The Question of God: C.S. Lewis and Sigmund Freud Debate God, Love, Sex, and the Meaning of Life",BX5199.L53 N534,Armand Nicholi,BX
The Tyranny of Guilt: An Essay on Western Masochism,CB245 .B7613,Pascal Bruckner,CB
Wild Swans: Three Daughters of China,CT1828.C478 A3,Jung Chang,CT
The Guns of August: The Pulitzer Prize-Winning Classic About the Outbreak of World War I,D530 .T8,Barbara W. Tuchman,D
Memories of World War II: Photographs from the Archives of the Associated Press,D743 .M46,The Associated Press,D
The Gathering Storm (1) (The Second World War),D743.C47 .1,Winston S. Churchill,D
The Hinge of Fate (4) (The Second World War),D743.C47 .4,Winston S. Churchill,D
Triumph and Tragedy (The Second World War),D743.C47 .6,Winston S. Churchill,D
Stalingrad: The Fateful Siege: 1942-1943,D764.S7 B37,Antony Beevor,D
TO END ALL WARS,D805.J3 G65,Ernest Gordon,D
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",D805.J3 Z364,Laura Hillenbrand,D
The English and Their History,DA30 .T656,Robert Tombs,DA
Churchill,DA566.C5 J64,Paul Johnson,DA
In Search Of England,DA630 .M65,H. V. Morton,DA
Landmarks (Landscapes),DA632 .M3245,Robert Macfarlane,DA
The Discovery of France: A Historical Geography,DC20.5 .R63,Graham Robb,DC
Eichmann in Jerusalem: A Report on the Banality of Evil (Penguin Classics),DD247.E5,Hannah Arendt,DD
The Rise and Fall of the Third Reich: A History of Nazi Germany,DD256.5,William L. Shirer,DD
Rubicon: The Triumph and Tragedy of the Roman Republic,DG266 .H64,Tom Holland,DG
Dynasty: The Rise and Fall of the House of Caesar,DG270 .H65,Tom Holland,DG
Augustus: First Emperor of Rome,DG279 .G65,Adrian Goldsworthy,DG
Ghosts of Spain: Travels Through Spain and Its Silent Past,DP233 .T74,Giles Tremlett,DP
Lonely Planet Spain (Travel Guide),DP355.M3238,Lonely Planet,DP
Lonely Planet Portugal (Country Guide),DP516 .S73,Lonely Planet,DP
Fodor's Essential Japan (Full-color Travel Guide),DS805.2 .F635,Fodor's Travel Guides,DS
Out of Africa (Modern Library 100 Best Nonfiction Books),DT433 .D56,Isak Dinesen,DT
A People's History of the United States,E178.Z75,Howard Zinn,E
The Autobiography of Malcolm X: As Told to Alex Haley,E185.L5 A3,Malcolm X,E
1776,E208 .M396,David McCullough,E
The New York Times 36 Hours: 150 Weekends in the USA & Canada (VARIA),E41 .N49,Barbara Ireland,E
Lincoln's Virtues: An Ethical Biography,E457 .M643,William Lee Miller,E
American Ulysses: A Life of Ulysses S. Grant,E672 .W48,Ronald C. White,E
American Nations: A History of the Eleven Rival Regional Cultures of North America,E98.F39,Colin Woodard,E
Undaunted Courage,F592 .A49,Stephen E Ambrose,F
The Mystery of John Colter: The Man Who Discovered Yellowstone,F592.C72 A54,Ronald M. Anglin,F
Relato de un Naufrago (Spanish Edition),G530.V442 G3713,Gabr Garcia Marquez,G
The Invisible Hook: The Hidden Economics of Pirates,G535 .L44,Peter T. Leeson,G
"Rule Makers, Rule Breakers: How Tight and Loose Cultures Wire Our World",GN493 .G45,Michele Gelfand,GN
The Book of Imaginary Beings (Penguin Classics Deluxe Edition),GR825 .B613,Jorge Luis Borges,GR
"Hippie Food: How Back-to-the-Landers, Longhairs, and Revolutionaries Changed the Way We Eat",GT2853.U5 K38,Jonathan Kauffman,GT
Silman's Complete Endgame Course: From Beginner To Master,GV1450 .S56,Jeremy Silman,GV
Fever Pitch,GV943 .H67,Nick Hornby,GV
Among the Thugs,GV943.F35 B84,Bill Buford,GV
"Friday Night Lights: A Town, A Team, And A Dream",GV958.P47 B57,H. G. Bissinger,GV
30-Second Economics,HB171.A13,Donald Marron,HB
Macroeconomics,HB172.5 .M357,N. Gregory Mankiw,HB
The Communist Manifesto and Other Writings (Barnes & Noble Classics),HB501.M48 E3,Karl Marx,HB
"Nudge: Improving Decisions About Health, Wealth, and Happiness",HB74.P8 T53,Richard H. Thaler,HB
An Empire of Wealth: The Epic History of American Economic Power,HC103 .G673,John Steele Gordon,HC
"Illiberal Reformers: Race, Eugenics, and American Economics in the Progressive Era",HC105 .L46,Thomas C. Leonard,HC
The Big Short: Inside the Doomsday Machine (Movie Tie-in Edition) (Movie Tie-in Editions),HC106.83,Michael Lewis,HC
"HBR's 10 Must Reads on Managing Yourself (with bonus article ""How Will You Measure Your Life?"" by Clayton M. Christensen)",HD31 .H3946,Harvard Business Review,HD
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,HD8073.V37 A3,J. D. Vance,HD
"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",HD82 .H38,F. A. Hayek,HD
Inspired: How to Create Tech Products Customers Love,HF5415.157,Marty Cagan,HF
"Red Notice: A True Story of High Finance, Murder, and One Man's Fight for Justice",HG172.B77,Bill Browder,HG
The Wall Street Journal Complete Money and Investing Guidebook (Wall Street Journal Guidebooks),HG4521 .K258,Dave Kansas,HG
"A Monetary History of the United States, 1867-1960",HG538.F86,Milton Friedman,HG
Intellectuals: From Marx and Tolstoy to Sartre and Chomsky,HM213 .J64,Paul Johnson,HM
The Rebel: An Essay on Man in Revolt,HM281 .C3513,Albert Camus,HM
Modern Culture (Continuum Compact Series),HM621 .S27,Roger Scruton,HM
Parent Hacks: 134 Genius Shortcuts for Life with Kids,HQ755 .D676,Asha Dornfest,HQ
Battle Hymn of the Tiger Mother,HQ759 .C59,Amy Chua,HQ
Defending Life: A Moral and Legal Case Against Abortion Choice,HQ767 .B427,Francis J. Beckwith,HQ
Bringing Up Bébé: One American Mother Discovers the Wisdom of French Parenting (now with Bébé Day by Day: 100 Keys to French Parenting),HQ769 .D78,Pamela Druckerman,HQ
Elevating Child Care: A Guide to Respectful Parenting,HQ769 .L244,Janet Lansbury,HQ
No Bad Kids: Toddler Discipline Without Shame,HQ770.4 .L36,Janet Lansbury,HQ
The Electric Kool-Aid Acid Test,HV5825 .W56,Tom Wolfe,HV
American Wing at The Metropolitan Museum of Art: A Walking Guide,HV6432.7 .E486,Morrison H. Heckscher,HV
Serpent in Eden,HV6535 .S4,James Owen,HV
The God That Failed,HX72 .G62,RICHARD H. CROSSMAN,HX
"Fools, Frauds and Firebrands: Thinkers of the New Left",HX73 .S422,Roger Scruton,HX
The Ideological Origins of the American Revolution,JA84.U5 B3,Bernard Bailyn,JA
"Liberal Fascism: The Secret History of the American Left, From Mussolini to the Politics of Change",JC481 .G55,Jonah Goldberg,JC
"Anarchy, State, and Utopia",JC571.N68,Robert Nozick,JC
"The Essential Scalia: On the Constitution, the Courts, and the Rule of Law",KF213.S32 S33,Antonin Scalia,KF
The U.S. Constitution and Fascinating Facts About It,KF4548,Terry L. Jordan,KF
The Constitution of the United States with the Declaration of Independence and the Articles of Confederation,KF4550 .C592,R. B. Bernstein,KF
The Closing of the American Mind,LA227 .B584,Allan Bloom,LA
The Abolition of Man,LB41 .L665,C. S. Lewis,LB
"Let Sleeping Vets Lie, Vet in Harness, Vets Might Fly, Vet in a Spin, If Only They Could Talk, It Shouldn't Happen to a Vet",M3 .S532 20,James Herriot,M
"The NPR Guide to Building a Classical CD Collection: Second Edition, Revised and Updated",ML156 .L5,Ted Libbey,ML
The Best of Punk Magazine,ML3534 .P892,John Holmstrom,ML
The Art of Punk: The Illustrated History of Punk Rock Design,ML3534.B498,Russ Bestley,ML
"History of Art, 6th Edition",N5300 .J3,Anthony F. Janson,N
Medicine in Art (A Guide to Imagery),N8223 .B6713,Giorgio Bordin,N
The House Book,NA7110 .H685,Editors of Phaidon Press,NA
De Viaje Con Quinots (Spanish Edition),NC1460 .L3,NONE,NC
European Paintings in the Met: A Walking Guide,ND450 .M476,Keith Christiansen,ND
Goya,ND813.G7 G78,Jose Gudiol,ND
SQL Performance Explained Everything Developers Need to Know about SQL Performance,NONE,Markus Winand,NO
Jeppesen Instrument/Commercial Textbook - 10001784-004,NONE,Jeppesen,NO
The Devotional Writings of Oswald Chambers: My Utmost for Hist Highest/Daily Tho,NONE,Oswald Chambers,NO
Cessna 172S 1998 & Up Pilot's Information Manual (part# 172SIM),NONE,NONE,NO
The Adventures of Sherlock Holmes,NONE,Sir Arthur Conan Doyle,NO
The Infectious Disease Colouring Book:: A Gruesome Colouring Therapy Adventure,NONE,MR Nicholas Wright,NO
The Stylish Life: Skiing,NONE,Gabrielle le Breton,NO
Practical Time Series Forecasting with R: A Hands-On Guide,NONE,Galit Shmueli,NO
Existentialism Is a Humanism,NONE,Jean-Paul Sartre,NO
The Odyssey,PA4025.A5,Homer,PA
Cicero: On Old Age On Friendship On Divination (Loeb Classical Library No. 154),PA6156.C5 A2,Cicero,PA
The Aeneid (Penguin Classics Deluxe Edition),PA6807.A5 F53,Virgil,PA
The Elements of Style (4th Edition),PE1408 .S772,William Strunk,PE
"Crabb's English Synonyms, Revised and Enlarged",PE1591 .C7,George Crabb,PE
The Devils: The Possessed (Penguin Classics),PG3326,Fyodor Dostoyevsky,PG
The Eternal Husband and Other Stories,PG3326 .A2,Fyodor Dostoevsky,PG
The Brothers Karamazov,PG3326 .B7,Fyodor Dostoevsky,PG
The Idiot (Modern Library Classics),PG3326 .I3,Fyodor Dostoevsky,PG
Notes from Underground,PG3326 .Z4,Fyodor Dostoevsky,PG
The Collected Tales of Nikolai Gogol,PG3333 .A15,Nikolai Vasilevich,PG
"The Diary of a Madman, the Government Inspector, and Selected Stories (Penguin Classics)",PG3333 .A6,Nikolai Gogol,PG
The Complete Short Novels,PG3456.A13 P48,Anton Chekhov,PG
Stories of Anton Chekhov,PG3456.A13 P48,Anton Chekhov,PG
The Master and Margarita,PG3476.B78,Bulgakov Mikhail,PG
"Speak, Memory (Everyman's Library)",PG3476.N3 Z5,Vladimir Nabokov,PG
Doctor Zhivago (Vintage International),PG3476.P27,Boris Pasternak,PG
The Light and the Dark,PG3487.I7525 P5713,Mikhail Shishkin,PG
The Seven Good Years: A Memoir,PJ5054.K375 Z4613,Etgar Keret,PJ
"The Cairo Trilogy: Palace Walk, Palace of Desire, Sugar Street (Everyman's Library)",PJ7846.A46 C35,Naguib Mahfouz,PJ
The Song of Everlasting Sorrow: A Novel of Shanghai (Weatherhead Books on Asia),PL2919.A58 C4313,Anyi Wang,PL
The Three-Body Problem,PL2947.C59,Cixin Liu,PL
No Longer Human,PL825.A8 N53,Osamu Dazai,PL
"Spring Snow: The Sea of Fertility, 1",PL833.I7 H3613,Yukio Mishima,PL
Men Without Women: Stories,PL856.U673 A2,Haruki Murakami,PL
The Wind-Up Bird Chronicle: A Novel,PL856.U673 N4513,Haruki Murakami,PL
Kafka on the Shore,PL856.U673 U4813,Haruki Murakami,PL
To Pixar and Beyond: My Unlikely Journey with Steve Jobs to Make Entertainment History,PN1998.L4673 A3,Lawrence Levy,PN
Audrey Hepburn: A Life in Pictures,PN2287.H43 A83,NONE,PN
Literary Essays of Ezra Pound,PN511 .P625,Ezra Pound,PN
Watchmen,PN6737.M66 W38,Alan Moore,PN
Persepolis: The Story of a Childhood (Pantheon Graphic Library),PN6747.S245 P4713,Marjane Satrapi,PN
Sexual Personae: Art and Decadence from Nefertiti to Emily Dickinson,PN751 .P34,Camille Paglia,PN
Axel's Castle: A Study of the Imaginative Literature of 1870-1930 (FSG Classics),PN771 .W55,Edmund Wilson,PN
The Count of Monte Cristo (Bantam Classics),PQ2226 .A33,Alexandre Dumas,PQ
Les Miserables (Signet Classics),PQ2286,Victor Hugo,PQ
"20,000 Leagues Under the Sea",PQ2469.V4 E5,Jules Verne,PQ
The Fall,PQ2605.A3734 C513,Albert Camus,PQ
Journey to the End of the Night,PQ2607.E834 V613,Louis-Ferdinand Céline,PQ
In Search of Lost Time: Proust 6-pack (Modern Library Classics),PQ2631.R63 A72,Marcel Proust,PQ
"Wind, Sand and Stars (Harvest Book)",PQ2637.A274 T43,Antoine de Saint-Exupery,PQ
Life: A User's Manual (English and French Edition),PQ2676.E67,Georges Perec,PQ
The Divine Comedy: Inferno; Purgatorio; Paradiso (Everyman's Library),PQ4315 .C5,Dante Alighieri,PQ
The Betrothed (Everyman's Library Classics Series),PQ4714.A2,Alessandro Manzoni,PQ
Invisible Cities,PQ4809.A45 C513,Italo Calvino,PQ
The Name of the Rose,PQ4865.C6,Umberto Eco,PQ
Don Quixote,PQ6329 .A2,Miguel de Cervantes,PQ
La biblia de barro,PQ6664.A8932 B5313,Julia Nacarro,PQ
Dime quien soy / Tell Me Who I Am (Spanish Edition),PQ6664.A8932 D56,Julia Navarro,PQ
Borges: Selected Non-Fictions,PQ7797.B635 A22,Jorge Luis Borges,PQ
The Aleph and Other Stories (Penguin Classics),PQ7797.B635 A24,Jorge Luis Borges,PQ
Collected Fictions,PQ7797.B635 A24,Jorge Luis Borges,PQ
Labyrinths (New Directions Paperbook),PQ7797.B635 L3,Jorge Luis Borges,PQ
The Book of Sand and Shakespeare's Memory (Penguin Classics),PQ7797.B635 L513,Jorge Luis Borges,PQ
La isla bajo el mar (Spanish Edition),PQ8098.L54 I7813,Isabel Allende,PQ
One Hundred Years of Solitude (P.S.) (Harper Perennial Modern Classics),PQ8180.A73 C513,Gabriel García Márquez,PQ
Conversation in the Cathedral,PQ8498.A65 C613,Mario Vargas Llosa,PQ
"Alquimista, El (Edic. 25 Aniversario)",PQ9698.O3546 A4513,Coelho Paulo,PQ
"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",PQ9698.O3546 A4513,Paulo Coelho,PQ
The Shorter Poems (Penguin Classics),PR2352 .M34,Edmund Spenser,PR
The Complete Pelican Shakespeare,PR2754 .E9,William Shakespeare,PR
Contested Will: Who Wrote Shakespeare?,PR2937 .S47,James Shapiro,PR
The Pilgrim's Progress (Signet Classics),PR3330.A2 K43,John Bunyan,PR
The Complete Poetry of John Milton,PR3551 .S4,John Milton,PR
Gulliver's Travels (Barnes & Noble Classics),PR3724.G8 D29,Jonathan Swift,PR
The Annotated Pride and Prejudice,PR4034 .P7,Jane Austen,PR
Sense and Sensibility (Penguin Classics),PR4034 .S4,Jane Austen,PR
The Complete Poetry & Prose of William Blake,PR4141 .E7,William Blake,PR
Wuthering Heights (Barnes & Noble Classics),PR4172,Emily Bronte,PR
"G. K. Chesterton: Collected Works, Vol. 13: Father Brown Stories Part 2 (Collected Works of Gk Chesterton)",PR4453.C4,G. K. Chesterton,PR
The Collected Works of G.K. Chesterton: The Father Brown Stories,PR4453.C4,G. K. Chesterton,PR
